Item,Designator,Quantity,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP
39,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
40,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
41,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
42,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
43,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
44,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
45,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
46,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
47,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
48,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
49,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
50,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
51,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
52,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
53,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
54,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
55,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
56,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
57,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
58,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
59,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
60,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
